iid,grupo,or,ctor,sexo,edad,inve,uso_app,tarjeta_debito,tipo_tarjeta,formacion
1,ctrl,0,0,0,38.29614843,51019.88612,1,0,3,2
2,trat1,1,1,1,54.47066994,63337.21881,1,0,3,4
3,trat2,1,1,1,35.71380389,59901.62123,1,0,3,3
4,trat1,0,0,1,49.61431948,50422.66906,0,0,3,3
5,trat1,0,0,1,41.81615761,45562.30864,0,1,3,3
6,ctrl,0,0,0,42.27783804,50336.28945,0,1,3,3
7,trat2,0,0,1,47.43640279,51766.1045,0,1,2,5
8,trat1,0,0,1,50.85610162,46418.07303,1,1,3,2
9,trat2,0,0,1,53.56720384,46557.81233,0,0,3,5
10,trat2,0,0,1,64.94787182,46647.51791,1,1,2,2
11,trat1,1,1,1,42.75313535,62262.27553,0,1,2,4
12,trat2,1,1,0,48.77718724,58635.13769,1,1,3,2
13,trat1,1,1,1,27.91420831,60253.05733,0,1,3,4
14,trat2,0,0,1,41.58178826,31694.53784,1,0,2,4
15,ctrl,1,0,1,48.51871869,44749.78929,1,0,3,2
16,trat1,1,0,0,34.21895034,36793.71498,0,1,2,3
17,ctrl,0,0,0,41.54230465,36714.11481,1,1,4,2
18,ctrl,1,1,0,48.61561313,29400.78164,1,1,1,2
19,ctrl,1,1,0,60.64789838,33628.53928,1,1,2,3
20,trat1,1,1,0,40.80134796,67606.3424,1,1,3,4
21,trat1,0,0,1,60.64597561,45128.58254,0,1,2,2
22,trat1,1,0,0,49.70251592,35208.0186,1,1,3,2
23,trat2,1,0,1,41.37700424,54221.8669,1,1,3,2
24,trat1,1,0,0,41.90474568,32196.94331,0,1,5,2
25,trat2,1,1,0,46.64015055,67985.31731,0,0,5,2
26,trat1,0,0,1,57.15100533,44692.93493,1,1,5,3
27,trat2,1,1,0,18.4610288,63406.49722,1,0,1,5
28,trat2,1,1,0,44.38985318,68729.29586,0,1,1,2
29,ctrl,0,0,1,51.72256175,47454.79001,0,0,3,3
30,ctrl,0,0,0,60.42073987,49165.39844,0,0,2,2
31,trat1,1,1,0,57.08365874,57047.19797,1,0,3,1
32,trat1,0,0,0,44.62436588,40835.98732,0,1,2,2
33,trat1,0,0,0,45.64426806,45162.28995,0,0,2,4
34,trat1,0,0,1,60.71225099,35700.019,1,0,2,2
35,ctrl,1,0,0,39.11937086,41358.06017,0,0,2,2
36,trat2,0,0,1,38.33899125,40671.22223,0,0,2,5
37,trat1,1,0,0,40.43648906,46817.43335,0,1,2,4
38,ctrl,0,0,1,55.45456972,55831.75157,1,1,5,3
39,ctrl,1,0,0,55.68433529,46038.84562,0,1,2,3
40,ctrl,0,0,0,23.75832758,44970.97172,1,0,5,3
41,ctrl,0,0,1,51.65980123,28491.41498,1,1,2,4
42,trat2,0,0,1,46.31205716,43427.36201,0,1,3,2
43,trat2,1,0,1,31.69812172,36490.62272,1,0,3,2
44,trat2,0,0,0,58.97769156,37471.60454,0,1,5,4
45,ctrl,0,0,0,58.87768168,34484.46907,1,1,2,3
46,ctrl,0,0,1,42.09696626,42859.8808,0,1,2,2
47,ctrl,0,0,1,35.80049097,55706.40117,0,1,3,3
48,trat2,0,0,1,49.08311629,53307.92856,0,1,2,4
49,ctrl,0,0,0,67.13711865,49849.7064,1,0,2,2
50,trat1,1,1,0,43.67990287,67463.43367,0,1,3,3
51,ctrl,0,0,0,45.07872129,35795.47224,1,0,2,2
52,trat2,0,0,1,32.29312238,46231.33484,1,1,3,1
53,trat1,0,0,0,60.01194867,51902.57126,1,1,2,4
54,ctrl,1,0,1,68.73855495,42545.39809,1,0,2,2
55,trat2,0,0,0,52.73545772,53077.38065,0,0,3,3
56,ctrl,1,1,0,35.96502578,32721.85509,1,0,2,3
57,ctrl,0,0,1,46.56419245,42861.98352,1,0,2,3
58,trat1,0,0,1,57.48761866,45728.17952,1,1,3,3
59,trat1,0,0,0,69.24253758,33328.6885,0,1,2,3
60,trat2,1,0,1,35.82564403,53188.55993,1,1,3,2
61,trat2,1,0,0,50.11722481,48452.15215,1,0,2,2
62,ctrl,0,0,1,56.11532739,50993.45837,0,0,3,2
63,trat2,0,0,1,52.09211226,37756.20826,1,0,3,2
64,ctrl,1,1,0,52.72811027,26067.87001,0,0,2,3
65,trat1,0,0,1,46.60209517,43313.03908,1,0,2,3
66,trat2,0,0,1,50.19561039,48262.17205,0,1,3,2
67,trat1,0,0,0,52.33207767,48326.95586,1,0,2,2
68,trat1,1,0,1,50.70706724,42075.76598,1,0,2,2
69,trat1,0,0,0,62.48343166,41864.69526,1,0,5,3
70,trat2,0,0,1,49.11585034,46891.63251,1,0,3,4
71,trat1,1,0,0,52.39067911,50220.06922,1,1,2,3
72,trat2,1,1,0,34.12593137,68314.94823,1,0,3,1
73,trat1,1,1,0,64.45566436,53865.37213,1,1,3,2
74,ctrl,0,0,1,70,53695.42703,0,1,2,2
75,trat2,0,0,0,46.84310764,41172.58327,0,1,2,3
76,ctrl,0,0,0,49.93869869,61166.98426,0,1,2,4
77,trat2,0,0,0,35.33310382,40615.11298,0,0,2,4
78,trat2,1,1,0,33.61288568,63660.2338,1,1,3,2
79,trat2,1,1,0,30.38910737,74818.22671,0,0,3,3
80,ctrl,0,0,0,46.66666867,55856.27386,1,1,3,3
81,ctrl,0,0,0,50.18470163,44836.32322,1,0,3,5
82,trat2,1,1,0,25.90250678,75634.32163,0,0,5,4
83,trat2,0,0,1,55.08225084,40587.46131,1,1,4,2
84,trat1,0,0,1,55.79517218,49715.07437,0,0,2,2
85,ctrl,0,0,1,46.9053726,42760.32384,0,1,3,4
86,trat2,1,1,0,45.31973903,63812.32656,0,0,3,2
87,trat1,0,0,1,63.82645474,52898.41144,0,1,5,3
88,trat1,0,0,0,48.44483032,57412.90736,1,0,2,2
89,trat1,1,1,1,54.56124736,56426.5686,1,0,3,2
90,ctrl,1,0,1,38.30926861,40855.88285,0,1,2,1
91,ctrl,0,0,0,45.78078669,37813.01031,0,0,5,4
92,trat2,0,0,0,53.89714959,40995.28306,0,0,2,4
93,trat2,1,1,0,62.75916679,70862.88442,0,0,3,2
94,trat2,0,0,0,38.14747224,60919.0224,1,0,3,3
95,ctrl,0,0,0,42.13140914,47840.23513,0,1,4,2
96,ctrl,0,0,0,58.74595599,44760.20907,1,1,2,2
97,trat1,0,0,1,59.3902256,47130.44287,0,0,2,1
